price,rating,Dual_Sim,4G,5G,Vo5G,NFC,IR_Blaster,Processor_Brand,Processor_Series,Core_Count,Clock_Speed_GHz,Performance_Tier,RAM Size GB,Storage Size GB,RAM Tier,battery_capacity,fast_charging_power,Screen_Size,Resolution_Width,Resolution_Height,Refresh_Rate,Notch_Type,primary_rear_camera_mp,num_rear_cameras,primary_front_camera_mp,num_front_cameras,memory_card_support,memory_card_size,os_name,os_version,brand
expensive,85.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,870,8.0,3.2,Flagship,12.0,256.0,Flagship,4400.0,66,6.62,1080.0,2400.0,120.0,Punch Hole,48.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,iQOO
non-expensive,88.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,865,8.0,2.84,Flagship,8.0,128.0,High-End,4500.0,0,6.5,1080.0,2400.0,120.0,Punch Hole,12.0,3.0,32.0,1.0,Yes,1 TB,Android,v10,Samsung
non-expensive,75.0,Yes,Yes,Yes,No,No,No,Snapdragon,4,8.0,2.4,Unknown,4.0,64.0,Mid-Range,5000.0,18,6.58,1080.0,2408.0,120.0,Water Drop Notch,50.0,2.0,8.0,1.0,Yes,1 TB,Android,v12,iQOO
non-expensive,74.0,Yes,Yes,No,No,No,Yes,Helio,99,8.0,2.2,Mid-Range,4.0,64.0,Mid-Range,5000.0,18,6.58,1080.0,2400.0,90.0,Water Drop Notch,50.0,3.0,8.0,1.0,Yes,512 GB,Android,v12,Poco
non-expensive,80.0,Yes,Yes,No,No,No,No,Snapdragon,680,8.0,2.4,Mid-Range,8.0,128.0,High-End,5000.0,44,6.58,1080.0,2408.0,90.0,Water Drop Notch,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Vivo
non-expensive,84.0,Yes,Yes,Yes,No,Yes,Yes,Dimensity,8100,8.0,2.85,Unknown,8.0,128.0,High-End,5080.0,67,6.6,1080.0,2460.0,144.0,Punch Hole,64.0,3.0,16.0,1.0,No,1 TB,Android,v12,POCO
non-expensive,84.0,Yes,Yes,Yes,No,No,Yes,Snapdragon,695,8.0,2.2,Mid-Range,8.0,128.0,High-End,5000.0,67,6.67,1080.0,2400.0,120.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,1 TB,Android,v11,Poco
non-expensive,78.0,Yes,Yes,Yes,No,No,No,Dimensity,930,8.0,2.2,Unknown,6.0,128.0,Mid-Range,4200.0,66,6.4,1080.0,2400.0,90.0,Punch Hole,50.0,3.0,16.0,1.0,No,1 TB,Android,v12,Realme
non-expensive,80.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,695,8.0,2.2,Mid-Range,6.0,128.0,Mid-Range,5000.0,33,6.4,1080.0,2400.0,60.0,Punch Hole,50.0,3.0,16.0,1.0,No,1 TB,Android,v11,Motorola
non-expensive,82.0,Yes,Yes,No,No,No,No,Snapdragon,665,8.0,2.4,Unknown,8.0,128.0,High-End,4500.0,18,6.38,1080.0,2340.0,60.0,Water Drop Notch,48.0,1.0,32.0,1.0,Yes,256 GB,Android,v9.0,Vivo
